index,logsynflow,time=[s],time_pure=[s]
0,685249.8566358797,0.09324860572814941,0.08850789070129395
1,4274944.6506617945,0.1732330322265625,0.1677393913269043
2,1977979.524380982,0.10391473770141602,0.09974551200866699
3,52547.786226792814,0.02870321273803711,0.027470827102661133
4,929800.9751315136,0.09491825103759766,0.09029674530029297
5,1884212.5837817804,0.11250495910644531,0.1071162223815918
6,2989124.5967970625,0.1368420124053955,0.13146686553955078
7,973071.9181273241,0.09891700744628906,0.09490060806274414
8,1853496.504059252,0.09451580047607422,0.08983993530273438
9,52356.93083687906,0.06318926811218262,0.06052541732788086
10,0.0,0.1353776454925537,0.13001203536987305
11,4272580.422196622,0.13849496841430664,0.13300538063049316
12,0.0,0.06420040130615234,0.06109476089477539
13,1286233.1460436028,0.15137386322021484,0.14591026306152344
14,958377.9173547603,0.12032365798950195,0.11500191688537598
15,129789.99959097088,0.028499126434326172,0.027200698852539062
16,3006999.6064390815,0.09710216522216797,0.09286975860595703
17,1250532.947037337,0.1175692081451416,0.11219549179077148
18,2933607.5143452957,0.12191271781921387,0.11643743515014648
19,973079.374655381,0.12487459182739258,0.11940455436706543
20,971341.9282114631,0.10548210144042969,0.09994244575500488
21,2165198.5529892235,0.11493849754333496,0.10961151123046875
22,1295591.5078998099,0.14223241806030273,0.13808369636535645
23,3043850.305329282,0.13807201385498047,0.13262224197387695
24,390640.92764826195,0.061065673828125,0.05797910690307617
25,52547.786226792814,0.028049707412719727,0.02687525749206543
26,1574737.8200082409,0.14689397811889648,0.1401996612548828
27,657663.9683641085,0.11856389045715332,0.11320829391479492
28,466595.7441348382,0.06121706962585449,0.05854344367980957
29,973633.4091676408,0.07089090347290039,0.0681459903717041
30,960922.1315320525,0.0630488395690918,0.05999875068664551
31,1298777.7143516971,0.09487771987915039,0.09079194068908691
32,1853800.2631499327,0.0994558334350586,0.0941314697265625
33,2184613.3901987732,0.11559224128723145,0.110198974609375
34,1286011.4637835696,0.10218977928161621,0.09802007675170898
35,1284737.9853365303,0.09290122985839844,0.08817386627197266
36,2935991.7948937267,0.12302350997924805,0.11735796928405762
37,457197.55432525865,0.061723947525024414,0.05862307548522949
38,3563830.851563558,0.12508893013000488,0.11969280242919922
39,671299.6979953555,0.09089517593383789,0.0865328311920166
40,52764.42117124385,0.09322619438171387,0.08921146392822266
41,353528.6654318844,0.11652922630310059,0.11116766929626465
42,2986058.3810010995,0.11983180046081543,0.11450386047363281
43,1955498.0156573479,0.10269880294799805,0.09859824180603027
44,390644.7217647806,0.06312108039855957,0.06042766571044922
45,373413.6835905728,0.061289072036743164,0.05826687812805176
46,2145720.5091401767,0.10239791870117188,0.09823322296142578
47,971023.8599384056,0.10120606422424316,0.09665107727050781
48,390640.91381370183,0.06202268600463867,0.0593266487121582
49,1295790.0791354838,0.09807968139648438,0.09283804893493652
