index,naswot,time=[s],time_pure=[s]
13276,726.2993570963541,0.022980928421020508,0.020156145095825195
13277,803.6116333007812,0.05475902557373047,0.04729056358337402
13278,555.97998046875,0.022315263748168945,0.019434452056884766
13279,787.6578979492188,0.05572986602783203,0.0483098030090332
13280,712.2305094401041,0.02366328239440918,0.020650386810302734
13281,598.6519775390625,0.012904882431030273,0.011424064636230469
13282,779.0056762695312,0.045615196228027344,0.03959012031555176
13283,721.6937459309896,0.03231310844421387,0.02785658836364746
13284,718.8004964192709,0.02277517318725586,0.01986837387084961
13285,765.4752807617188,0.04553389549255371,0.03955197334289551
13286,-inf,0.03390693664550781,0.02946019172668457
13287,757.0847778320312,0.03126215934753418,0.02686023712158203
13288,750.66015625,0.0354769229888916,0.030912160873413086
13289,797.9979044596354,0.05344796180725098,0.04590272903442383
13290,756.3285319010416,0.03147459030151367,0.027101516723632812
13291,802.1823527018229,0.05570793151855469,0.04829859733581543
13292,784.640380859375,0.0428617000579834,0.03692483901977539
13293,712.2305094401041,0.023368120193481445,0.020416975021362305
13294,715.3713785807291,0.022422075271606445,0.019526004791259766
13295,779.2622273763021,0.04563331604003906,0.03964686393737793
13296,803.9165649414062,0.051688432693481445,0.04428458213806152
13297,727.9377848307291,0.043897151947021484,0.03787708282470703
13298,770.5097452799479,0.04729485511779785,0.041152000427246094
13299,714.5563761393229,0.02330636978149414,0.02040243148803711
13300,778.0221150716146,0.04565787315368652,0.03957343101501465
13301,788.0487670898438,0.05165290832519531,0.04546785354614258
13302,775.294921875,0.045514822006225586,0.039484262466430664
13303,750.286865234375,0.032994985580444336,0.02862858772277832
13304,749.8940022786459,0.03189826011657715,0.027530431747436523
13305,763.8186645507812,0.03335285186767578,0.028989791870117188
13306,753.5603230794271,0.03354525566101074,0.029094696044921875
13307,801.4281209309896,0.05240345001220703,0.04501152038574219
13308,802.9090983072916,0.0559086799621582,0.048250675201416016
13309,751.4257202148438,0.03528165817260742,0.030696868896484375
13310,762.1808064778646,0.054840087890625,0.047232627868652344
13311,752.2932942708334,0.03593945503234863,0.031470537185668945
13312,757.3836059570312,0.034221649169921875,0.02983546257019043
13313,726.8310139973959,0.021300554275512695,0.01847219467163086
13314,721.0524698893229,0.022640705108642578,0.019739151000976562
